Cambodia,Kambódía,Kambódíu,"kamb­ód­íska 
","kamb­ód­ísku 
"
Cameroon,Kamerún,Kamerún,"enska
franska","ensku
frönsku"
Canada,Kanada,Kanada,"enska
franska","ensku
frönsku"
Kazakh­stan,Kasakstan,Kasakstan,"kasakska 
rúss­neska ","kasöksku 
rúss­nesku "
Qatar,Katar,Katar,"arabíska 
","arabísku 
"
Kenya,"Kenía
Kenya",Kenía / Keníu,"enska 

svahílí 
","ensku 

svahílí 
"
Kyrgyzstan,"Kirgistan
Kyrgyzstan",Kirgistan,"kirgiska 

rúss­neska 
","kirgisku 

rúss­nesku 
"
China,Kína,Kína,"kín­verska 
","kín­versku 
"
Kiribati,Kíribatí,Kíribatí,"enska 
kírib­atíska 
","ensku 
kírib­atísku 
"
"Congo
(the
Demo­cratic
Republic
of
the)","Kongó
Lýð­stjórnar­lýð­veld­ið Kongó",Lýðstjórnarlýðveldinu Kongó,franska ,frönsku 
Congo (the),"Kongó
Lýðveldi­ð Kongó",Lýðveldinu Kongó,franska ,frönsku 
Costa Rica,"Kosta Ríka→
Costa Rica, 
Kosta Ríka",Kosta Ríka / Kosta Ríku,"spænska 
 ","spænsku 
 "
Colombia,"Kólumbía→ Colombia, 
Kólumbía",Kólumbíu,"spænska 
 ","spænsku 
 "
"Comoros
(the)",Kómor­ur,Kómorum,"arabíska 
franska ","arabísku 
frönsku "
Korea (the Demo­cratic People‘s Republic of),"Kórea
Norður-Kórea",Norður-Kóreu,kóreska ,kóresku 
Korea (the Republic of),"Kórea
Suður-Kórea",Suður-Kóreu,"kóreska 
","kóresku 
"
Kosovo,Kósovó,Kósovó,"albanska 

serb­neska 
","albönsku 

serb­nesku 
"
Croatia,Króatía,Króatíu,króatíska ,króatísku 
Cuba,Kúba,Kúbu,"spænska
 ","spænsku
 "
Kuwait,"Kúveit
Kuwait",Kúveit,arabíska ,arabísku 
Cyprus,Kýpur,Kýpur,"gríska 
tyrkneska ","grísku 
tyrknesku "
Lao People‘s Demo­cratic Republic (the),Laos,Laos,laoska ,laosku 
Lesotho,Lesótó,Lesótó,"enska 

suðursótó ","ensku 

suðursótó "
Latvia,"Lettland
Latvija",Lettlandi,"lettneska 
","lettnesku 
"
Liechten­stein,Liecht­enst­ein,Liechtenstein,þýska,þýsku
